valid_time,pressure_level,latitude,longitude,surface_wind,low-level_wind,jet_stream,atmos_stability1,atmos_stability2,thermal_wind_y_grad,thermal_wind_x_grad
1987-06-25,0,43.7,-79.65,4.3268733,9.373328,8.290305,0.0012900831732522476,0.0043586943041230486,2.0247895917360808,0.16860732418534283
1987-06-26,0,43.7,-79.65,4.4887643,13.827902,18.970694,0.0015574889709610757,0.0037994235779749345,2.716313487864157,1.712222035150409
1987-06-27,0,43.7,-79.65,6.0905337,10.628671,15.322288,0.0008260301781041492,0.0035747242577558705,2.1208332899627225,0.5352149663432554
1987-06-28,0,43.7,-79.65,6.9617343,16.033926,14.462516,0.0007370792566768277,0.0033831117699985314,2.39371468750072,1.0584399471734107
1987-06-29,0,43.7,-79.65,7.4795065,23.450638,22.586388,0.001255709221705428,0.0032888801565872532,3.215377078555171,0.6293922173710104
1987-06-30,0,43.7,-79.65,6.547003,20.856966,29.027506,0.003231829732529389,0.004092491226807298,1.9514846336375584,-0.6103412398234769
1987-07-01,0,43.7,-79.65,3.111016,8.1662,20.529068,0.0012767422344171395,0.005018612767424323,0.9485360330727736,0.06118991965996531
1987-07-02,0,43.7,-79.65,2.0231998,5.2386527,7.017485,0.004026532174198638,0.0051014125640570325,-2.3638227528609037,-0.11407296999281265
1987-07-03,0,43.7,-79.65,5.5806904,14.23754,21.656086,0.0017817067027461118,0.004806788464068203,0.9605680351598826,0.9571906492824014
1987-07-04,0,43.7,-79.65,4.9771776,13.968336,24.927694,0.0032472295941581592,0.004415724302569261,0.5877250696151156,0.5465197259181239
1987-07-05,0,43.7,-79.65,2.192727,6.385122,6.957281,0.0020666913354649864,0.005383344764092976,-1.459647222226178,-1.1569977493375474
1987-07-06,0,43.7,-79.65,4.171392,11.396659,8.574228,0.0026990771166759387,0.004397637855780934,-0.17527194605980045,0.19423586072393575
1987-07-07,0,43.7,-79.65,4.6550484,8.489952,11.758405,0.0027516913737405326,0.004367970959983812,0.4620280970747883,1.6074930952691775
1987-07-08,0,43.7,-79.65,4.1670647,10.412357,11.541854,0.0005347972044093115,0.0045472045098074,1.2554996776523537,1.607872090475374
1987-07-09,0,43.7,-79.65,3.4372022,8.249945,8.685552,0.0011882965816184118,0.00441388857225293,1.69115887690146,0.43589360961327556
1987-07-10,0,43.7,-79.65,5.252742,10.408479,9.52742,0.0014485337483658089,0.004157472110478195,2.812265926839781,0.06674226278953045
1987-07-11,0,43.7,-79.65,4.0682793,10.433332,6.2095013,0.0012234111867072887,0.0043321870111978945,0.7739373713760704,0.8467005527065647
1987-07-12,0,43.7,-79.65,4.899589,10.390021,2.6404707,0.0026460991776976793,0.003758921261436018,0.467348264951034,0.1820673112385939
1987-07-13,0,43.7,-79.65,5.5114594,12.472801,11.343087,0.002532806369099611,0.004170722060565844,2.4096919757286095,-0.31824171118771016
1987-07-14,0,43.7,-79.65,4.916474,10.612695,17.775808,0.0020154877971187415,0.004184645445578738,6.916190737960015,-0.56718395605284
1987-07-15,0,43.7,-79.65,4.7556334,8.522369,18.593266,0.0011619076374117417,0.004748021597906321,-0.08078296253810721,-1.111520436840305
1987-07-16,0,43.7,-79.65,2.848265,3.884222,8.2985525,0.001451827225191713,0.0037639561772430017,-1.0407425290436751,0.5025291731156147
1987-07-17,0,43.7,-79.65,6.4739795,10.240962,13.936131,0.0018721360195122598,0.004048968600829175,0.03053193623088849,1.0342491002059435
1987-07-18,0,43.7,-79.65,6.339509,12.546898,12.541185,0.001308155816374341,0.0036877353561605795,4.754111986503055,1.3355442682583625
